effective,processed,type,amount($)
8/15/2025,8/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.38 
8/15/2025,8/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
8/15/2025,8/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
8/13/2025,8/13/2025,Monthly Deduction,($137.15)
8/13/2025,8/13/2025,Payment,"$2,255.00 "
7/15/2025,7/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($39.99)
7/15/2025,7/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($40.92)
7/15/2025,7/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,004.37 "
7/15/2025,7/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,097.51 "
7/15/2025,7/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.50 
7/15/2025,7/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.51 
7/15/2025,7/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.69 
7/15/2025,7/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
7/15/2025,7/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
7/13/2025,7/14/2025,Monthly Deduction,($137.26)
7/13/2025,7/14/2025,Payment,"$2,255.00 "
6/15/2025,6/16/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($39.60)
6/15/2025,6/16/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($40.16)
6/15/2025,6/16/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,965.92 "
6/15/2025,6/16/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,021.12 "
6/15/2025,6/16/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.56 
6/15/2025,6/16/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.56 
6/15/2025,6/16/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.58 
6/15/2025,6/16/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
6/15/2025,6/16/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
6/13/2025,6/13/2025,Monthly Deduction,($137.36)
6/13/2025,6/13/2025,Payment,"$2,255.00 "
5/15/2025,5/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.96)
5/15/2025,5/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($17.29)
5/15/2025,5/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,996.14 "
5/15/2025,5/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,728.83 "
5/15/2025,5/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$132.28 
5/15/2025,5/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
5/15/2025,5/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
5/13/2025,5/13/2025,Monthly Deduction,($137.47)
4/15/2025,4/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.45)
4/15/2025,4/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($5.85)
4/15/2025,4/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$945.01 
4/15/2025,4/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$585.38 
4/15/2025,4/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.32 
4/15/2025,4/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
4/15/2025,4/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
4/13/2025,4/14/2025,Monthly Deduction,($136.42)
3/15/2025,3/17/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.98)
3/15/2025,3/17/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($6.11)
3/15/2025,3/17/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$998.04 
3/15/2025,3/17/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$610.70 
3/15/2025,3/17/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.06 
3/15/2025,3/17/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
3/15/2025,3/17/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$17.46 
3/13/2025,3/13/2025,Monthly Deduction,($136.42)
2/15/2025,2/18/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($16.63)
2/15/2025,2/18/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($14.65)
2/15/2025,2/18/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,663.30 "
2/15/2025,2/18/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,464.65 "
2/15/2025,2/18/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.51 
2/15/2025,2/18/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$55.18 
2/15/2025,2/18/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$93.59 
2/13/2025,2/13/2025,Monthly Deduction,($136.42)
1/15/2025,1/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($33.48)
1/15/2025,1/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($33.62)
1/15/2025,1/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,676.48 "
1/15/2025,1/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$2,690.64 "
1/15/2025,1/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$671.26 
1/15/2025,1/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$671.27 
1/15/2025,1/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.15 
1/15/2025,1/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$88.45 
1/15/2025,1/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$61.13 
1/13/2025,1/14/2025,Monthly Deduction,($136.41)
1/13/2025,1/14/2025,Payment,"$1,566.68 "
12/15/2024,12/16/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($41.23)
12/15/2024,12/16/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($41.59)
,,,
,,,
12/15/2024,12/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,128.79 "
12/15/2024,12/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,164.39 "
12/15/2024,12/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.69 
12/15/2024,12/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.70 
12/15/2024,12/16/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.31 
12/15/2024,12/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$226.02 
12/15/2024,12/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$216.87 
12/13/2024,12/13/2024,Monthly Deduction,($136.50)
12/13/2024,12/13/2024,Payment,"$2,255.00 "
11/15/2024,11/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($42.64)
11/15/2024,11/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($41.69)
11/15/2024,11/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,268.88 "
11/15/2024,11/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,174.45 "
11/15/2024,11/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.74 
11/15/2024,11/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.75 
11/15/2024,11/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.21 
11/15/2024,11/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$366.00 
11/15/2024,11/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$271.57 
11/13/2024,11/13/2024,Monthly Deduction,($136.62)
11/13/2024,11/13/2024,Payment,"$2,255.00 "
10/15/2024,10/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($44.17)
10/15/2024,10/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($43.04)
10/15/2024,10/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,422.63 "
10/15/2024,10/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,309.75 "
10/15/2024,10/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.56 
10/15/2024,10/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.57 
10/15/2024,10/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.57 
10/15/2024,10/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$520.03 
10/15/2024,10/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$383.95 
10/13/2024,10/14/2024,Monthly Deduction,($136.76)
10/13/2024,10/14/2024,Payment,"$2,255.00 "
9/15/2024,9/16/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($37.98)
9/15/2024,9/16/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($37.03)
9/15/2024,9/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,802.95 "
9/15/2024,9/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$2,708.62 "
9/15/2024,9/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.60 
9/15/2024,9/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.60 
9/15/2024,9/16/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.50 
9/15/2024,9/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$305.89 
9/15/2024,9/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$200.43 
9/13/2024,9/13/2024,Monthly Deduction,($136.88)
9/13/2024,9/13/2024,Payment,"$2,255.00 "
8/15/2024,8/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($30.89)
8/15/2024,8/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($30.92)
8/15/2024,8/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,094.22 "
8/15/2024,8/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$2,097.22 "
8/15/2024,8/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.56 
8/15/2024,8/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.56 
8/15/2024,8/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.58 
8/15/2024,8/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$135.11 
8/15/2024,8/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$138.10 
8/13/2024,8/13/2024,Monthly Deduction,($136.98)
8/13/2024,8/13/2024,Payment,"$2,255.00 "
7/15/2024,7/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($30.35)
7/15/2024,7/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($31.29)
7/15/2024,7/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,040.42 "
7/15/2024,7/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$2,134.49 "
7/15/2024,7/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.30 
7/15/2024,7/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.31 
7/15/2024,7/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.09 
7/15/2024,7/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$78.74 
7/15/2024,7/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$175.67 
7/13/2024,7/15/2024,Monthly Deduction,($137.09)
7/13/2024,7/15/2024,Payment,"$2,255.00 "
6/15/2024,6/17/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($29.96)
6/15/2024,6/17/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($30.52)
6/15/2024,6/17/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$2,001.63 "
6/15/2024,6/17/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$2,057.38 "
6/15/2024,6/17/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.25 
6/15/2024,6/17/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.26 
6/15/2024,6/17/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.19 
6/15/2024,6/17/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$39.75 
6/15/2024,6/17/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$97.54 
6/13/2024,6/13/2024,Monthly Deduction,($137.19)
6/13/2024,6/13/2024,Payment,"$2,255.00 "
5/15/2024,5/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($20.16)
5/15/2024,5/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($18.80)
5/15/2024,5/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,029.11 "
5/15/2024,5/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$892.71 
5/15/2024,5/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$987.19 
5/15/2024,5/15/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$987.20 
5/15/2024,5/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$145.31 
5/15/2024,5/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$58.98 
5/15/2024,5/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$76.87 
5/13/2024,5/13/2024,Monthly Deduction,($137.29)
5/13/2024,5/13/2024,Payment,"$2,255.00 "
4/15/2024,4/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.55)
4/15/2024,4/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($7.23)
4/15/2024,4/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$954.56 
4/15/2024,4/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$722.93 
4/15/2024,4/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.35 
4/15/2024,4/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$1.37 
4/15/2024,4/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$29.01 
4/13/2024,4/15/2024,Monthly Deduction,($135.66)
3/15/2024,3/15/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($10.08)
3/15/2024,3/15/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($7.32)
3/15/2024,3/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,008.12 "
3/15/2024,3/15/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$731.62 
3/15/2024,3/15/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.85 
3/15/2024,3/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$55.12 
,,,
3/15/2024,3/15/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$38.90 
3/13/2024,3/13/2024,Monthly Deduction,($135.66)
2/15/2024,2/16/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($16.24)
2/15/2024,2/16/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($15.17)
2/15/2024,2/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$953.14 
2/15/2024,2/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$845.51 
2/15/2024,2/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$671.22 
2/15/2024,2/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$671.23 
2/15/2024,2/16/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.23 
2/15/2024,2/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
2/15/2024,2/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$21.44 
2/13/2024,2/16/2024,Monthly Deduction,($135.65)
2/13/2024,2/16/2024,Payment,"$1,566.68 "
1/15/2024,1/16/2024,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($26.14)
1/15/2024,1/16/2024,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($26.56)
1/15/2024,1/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,619.60 "
1/15/2024,1/16/2024,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,661.50 "
1/15/2024,1/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.57 
1/15/2024,1/16/2024,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.57 
1/15/2024,1/16/2024,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.56 
1/15/2024,1/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
1/15/2024,1/16/2024,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$41.89 
1/13/2024,1/16/2024,Monthly Deduction,($135.71)
1/13/2024,1/16/2024,Payment,"$2,255.00 "
12/15/2023,12/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($29.32)
12/15/2023,12/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($29.77)
12/15/2023,12/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,937.83 "
12/15/2023,12/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,983.02 "
12/15/2023,12/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.26 
12/15/2023,12/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.27 
12/15/2023,12/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.17 
12/15/2023,12/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
12/15/2023,12/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$45.18 
12/13/2023,12/13/2023,Monthly Deduction,($135.79)
12/13/2023,12/13/2023,Payment,"$2,255.00 "
11/15/2023,11/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($29.32)
11/15/2023,11/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($29.32)
11/15/2023,11/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,937.90 "
11/15/2023,11/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,937.90 "
11/15/2023,11/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.30 
11/15/2023,11/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.30 
11/15/2023,11/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.10 
11/15/2023,11/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
11/15/2023,11/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
11/13/2023,11/13/2023,Monthly Deduction,($135.86)
11/13/2023,11/13/2023,Payment,"$2,255.00 "
10/15/2023,10/16/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($29.32)
10/15/2023,10/16/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($29.55)
